"Sendinblue : THE all-in-one plugin for your marketing and transactional emails.", "Sendinblue : LE plugin tout-en-un pour vos emails marketing et transactionnels."
"Sendinblue", "Sendinblue"
"Contact Sendinblue team", "Contactez l'équipe Sendinblue"
"Contact us:", "Contactez-nous :"
"contact@sendinblue.com", "contact@sendinblue.com"
"https://www.sendinblue.com", "https://www.sendinblue.com"
"For further informations, please visit our website:", "Pour plus d'informations, merci de visiter notre site internet:"
"Synchronize your subscribers with Sendinblue (subscribed and unsubscribed contacts)", "Synchronisation automatique de vos contacts avec Sendinblue (inscrits et désinscrits)"
"Easily create good looking emailings", "Outils d'aide à la création d'emailings"
"Schedule your campaigns", "Programmation des campagnes"
"Track your results and optimize", "Suivi des résultats"
"Monitor your transactional emails (purchase confirmation, password reset …) with a better deliverability and real-time analytics", "Pilotage simple et efficace de vos emails transactionnels (emails de confirmation de commande, de récupération de mot de passe …) avec une meilleure délivrabilité et le détail des ouvertures et des clics en temps réel"
"Why should you use Sendinblue ?", "Pourquoi utiliser Sendinblue ?"
"Optimized deliverability", "Une délivrabilité optimisée"
"Unbeatable pricing &ndash; best value in the industry", "Les meilleurs prix du marché, sans engagement"
"Technical support, by phone or by email", "Un support technique joignable par téléphone ou par email"
"Settings", "Paramètres"
"Activate the Sendinblue module:", "Activer le module Sendinblue:"
"Yes", "Oui"
"No", "Non"
"API Key:", "Clé API:"
"Validate &amp; Save", "Valider et enregistrer"
"Please enter your API key from your Sendinblue account and if you don't have it yet, please go to www.sendinblue.com and subscribe. You can then get the API key from https://my.sendinblue.com/integration", "Veuillez renseigner votre clé API qui est liée à votre compte Sendinblue. Elle est disponible sur cette page: https://my.sendinblue.com/integration. Si vous ne possédez pas de compte Sendinblue, vous devez créer un compte sur le site https://www.sendinblue.com"
"Your lists", "Vos listes"
"Activate Sendinblue to manage subscribers", "Activer Sendinblue pour gérer vos contacts"
"Your Lists", "Vos listes"
"Select the contact list where you want to save the contacts of your site Magento. By default, we have created a list Magento in your Sendinblue account and we have selected it", "Choisissez les listes de contacts où vous souhaitez enregistrer les contacts de votre site Magento. Nous avons créé automatiquement une liste Magento sur votre compte Sendinblue, elle est sélectionnée par défaut."
"To synchronize the emails of your customers from Sendinblue platform to your e-commerce website, you should run ", "Pour synchroniser les emails de vos clients de la plateforme Sendinblue vers votre site e-commerce website, il faudra exécuter "
"this link", "ce lien"
"each day", "chaque jour."
"Activate Sendinblue SMTP for your transactional emails", "Activer Sendinblue SMTP pour vos emails transactionnels"
"Sendinblue SMTP ", "Sendinblue SMTP "
"is a product of Sendinblue and it allows you to manage your transactional emails", "est un produit de Sendinblue et vous permet de gérer vos emails transactionnels."
"Transactional email is an expected email because it is triggered automatically after a transaction or a specific event. Common examples of transactional email are : account opening and welcome message, order shipment confirmation, shipment tracking and purchase order status, registration via a contact form, account termination, payment confirmation, invoice etc.", "Sendinblue SMTP permet d'envoyer des emails transactionnels (un email transactionnel est envoyé pour attester d'une transaction ou d'un évènement. Exemple : email d'inscription, de confirmation de commande, une facture …). En activant cette fonctionnalité, vous êtes sûr que vos emails transactionnels parviennent bien à vos destinataires et vous pouvez consulter l'historique de vos emails (ouvertures, clics …)."
"Activate Sendinblue SMTP for your transactional emails", "Activer Sendinblue SMTP pour vos emails transactionnels"
"Send email test From / To :", "Envoyer un email de test à"
"Send", "Envoyer"
"Code tracking", "Code de tracking"
"Do you want to install a tracking code when validating an order", "Voulez vous installer un code de tracking lors de la validation d'une commande"
"This feature will allow you to transfer all your customers orders from Magento into Sendinblue to implement your email marketing strategy.", "Cette fonctionnalité vous permettra de remonter vos commandes réalisées depuis votre site Magento vers Sendinblue afin de mettre en place des strategies marketing lors de l'envoi de vos campagnes."
"Automation", "Automation"
"Your Marketing Automation script will be uninstalled, you would not have access to any Marketing Automation data and workflows", "Le script de Marketing Automation va être désinstallé, vous n’aurez plus accès aux données de Marketing Automation et vos scénarios ne pourront plus fonctionner."
"Activate Marketing Automation through Sendinblue", "Activez le Marketing Automation via Sendinblue"
"Choose Yes if you want to use Sendinblue Automation to track your website activity", "Choisissez “Oui” si vous souhaitez utiliser l’Automation Sendinblue pour suivre l’activité de votre site web."
"Explore our resource","Explorez nos ressources"
"to learn more about Sendinblue Automation", "pour en savoir plus le Marketing Automation de Sendinblue"
"You have ", "Vous avez "
" contacts subscribed and ", " contacts inscrits et "
" contacts unsubscribed from Magento.", " contacts désinscrits de Magento."
"Contacts list", "Liste des contacts "
" For more details,", " Pour plus de détails cliquez"
" For less details,", " Pour moins de détails, cliquez"
"click here", "ici"
"Sendinblue Setting", "Les Paramètres du module Sendinblue"
"Prerequisites", "Pré-requis"
"Clients", "Clients"
"Newsletter Magento Status", "Inscrit sur Magento"
"Newsletter Sendinblue Status", "Inscrit sur Sendinblue"
"- You should have a Sendinblue account. You can create a free account here:", "- Pour installer ce module, il est nécessaire d'avoir un compte Sendinblue. Vous pouvez en créer un gratuitement sur le site:"
"Click on the icon to subscribe / unsubscribe the contact from Sendinblue and Magento.", "Cliquez sur l'icône pour inscrire / désinscrire un contact de Sendinblue et Magento."
"Manage SMS", "Gestion des SMS"
"Currently you have ", "Actuellement, vous avez"
" credits sms. To buy more credits, please click", "crédits SMS. Pour acheter plus de crédits, cliquez "
"https://www.sendinblue.com/pricing", "https://fr.sendinblue.com/pricing"
"here", "ici"
"You want to be notified by e-mail when you do not have enough credits?", "Voulez vous être prévenu par e-mail lorsqu'il vous reste peu de crédits ?"
"Yes", "Oui"
"No", "Non"
"Limit", "Limite"
"Save", "Enregistrer"
"To get the email notification, you should run ", "Pour recevoir l'e-mail de notification, il faudra exécuter "
" atleast one time per day. ", "au moins une fois par jour."
"Note that if you change the name of your Shop (currently ", "Si vous changez le nom de votre boutique (actuellement "
") the token value changes.", ") la valeur du token changera. "
"Send SMS after order confirmation", "Envoyer un SMS après la confirmation de commande"
"Send a SMS confirmation for the shipment of the order", "Envoyer un SMS après l'expédition de commande"
"Send a campaign SMS", "Envoyer une campagne SMS"
"SMS settings", "Paramètres du SMS"
"Sender", "Expéditeur"
"This field allows you to customize the SMS sender. The number of characters is limited to 11 alphanumeric characters. You can´t configure your Sender with a phone number.", "Ce champs permet de personnaliser l'expéditeur du SMS. Il ne doit pas contenir plus de 11 caractères. Les caractères spéciaux (é, à ...) ne sont pas acceptés."
"Number of characters left: ", "Nombre de caractères restants: "
"Attention line break is counted as a single character.", "Attention, un saut de ligne est compté comme un seul caractère. "
" Create the content of your SMS with the limit of 160-character.Beyond 160 characters, it will be counted as a second SMS. Thus, if you write SMS of 240 characters, it will be recorded using two SMS.", "Créer le contenu de vos SMS avec une limite de 160 caractères. Au-delà de 160 caractères, il sera compté comme un second SMS. Ainsi, si vous écrivez un SMS de 240 caractères, il sera compté comme deux SMS."
"Number of SMS used: ", "Nombre de SMS utilisé(s):"
"Sending a test SMS will be deducted from your SMS credits.", "L'envoi d'un SMS test sera décompté de vos crédits SMS. "
"Send a test SMS", "Envoyer un SMS de test"
"The phone number should be in this form: 33663309741 for 06 63 30 97 41", "Le téléphone mobile doit être sous cette forme: 33663309741 pour 06 63 30 97 41"
"Send", "Envoyer"
"To", "à"
"A single contact", "Un seul contact"
"If you want to personalize the SMS, you can use the variables below:", "Si vous souhaitez personnaliser les SMS, vous pouvez utiliser les variables ci-dessous:"
"- For first name use {first_name}", "- Pour afficher le prénom, utiliser {first_name}"
"- For last name use {last_name}", "- Pour afficher le nom, utiliser {last_name}"
"- For order reference id use {order_reference}", "- Pour afficher l'id de la commande, utiliser {order_reference}"
"- For order price use {order_price}", "- Pour afficher le prix de la commande, utiliser {order_price}"
"- For order date use {order_date}", "- Pour afficher la date de la commande, utiliser {order_date}"
"All my Magento customers", "Tous mes contacts Magento"
"Phone number of the contact", "Numéro de téléphone du contact"
"Send the campaign", "Envoyer la campagne"
"Message has been sent successfully", "Le SMS a bien été envoyé"
"Message has not been sent successfully", "Le SMS n'a pas été envoyé"
"Please fill the Sender field", "Veuillez renseigner un expéditeur"
"Please fill the Mobile Phone field", "Veuillez renseigner votre Téléphone Mobile"
"Please enter the valid Mobile Number", "Veuillez renseigner votre Téléphone Mobile"
"Please fill the Message field", "Veuillez remplir le champ message"
"Please fill the message field", "Veuillez remplir le champ message"
"Please select a list", "Veuillez sélectionner une liste"
"Mail not sent", "Email non envoyé"
"Please fill message field", "Veuillez remplir le champ message"
"Your setting has been successfully saved", "Votre paramétrage a été enregistré avec succès"
"Please provide valid Email!", "Veuillez renseigner un email valide"
"Please provide a limit in integer format", "Le champ limite doit être un nombre entier"
"You have entered wrong api key", "Votre clé API n'est pas correcte"
"Your SMTP account is not activated and therefore you can not use Sendinblue SMTP. For more informations, Please contact our support to: contact@sendinblue.com", "Votre compte SMTP n'est pas activé et donc vous ne pouvez pas utiliser Sendinblue SMTP. Pour plus d'informations, vous pouvez contacter notre support à : contact@sendinblue.com"
"Your setting has been sucessfully saved", "Votre configuration a bien été enregistrée"
"Only subscribed customers", "Seuls les contacts abonnés"
"Successfully updated.", "Mise à jour effectuée avec succès"
"Mail sent!", "Email envoyé!"
"The CRON has been well executed.", "Le CRON a bien été exécuté."
"Activate Sendinblue to manage subscribers", "Activer Sendinblue pour gérer vos contacts"
"Please enter your API key", "Veuillez renseigner votre clé API"
"Alert threshold for remaining credits", "Seuil d'alerte de crédits restants"
"SMS notifications", "Notifications par SMS"
"In order to receive update about your incoming orders, please fill the mobile phone input like this 0017185481985 (with country code) for the US number (718) 548-1985", "Pour recevoir les informations de vos prochaines commandes, veuillez renseigner votre numéro de téléphone de la manière suivante: 0033663309748 (avec le code du pays) pour le numéro français 06 63 30 97 48"
"Sendinblue Settings", "Les Paramètres du module Sendinblue"
"Invalid form data.", "Invalides données de formulaire."
"Mail not sent,Hourly Quota Exceeded", "Email non envoyé parce que votre quota horaire a été dépassé"
"Selected", "liste(s) sélectionnée(s)"
"Hourly Quota Exceeded", "Quota horaire dépassé"
"The phone number should be in this form: 0033663309741 for this France mobile 06 63 30 97 41 (0033 is France prefix)", "Le numéro de téléphone mobile devrait être sous cette forme: 0033663309741 pour le numéro français 06 63 30 97 41 (0033 est l'indicatif de la France)"
"Update", "Mettre à jour"
"If you activate this feature, your new contacts will be automatically added to Sendinblue or unsubscribed from Sendinblue. To synchronize the other way (Sendinblue to Magento), you should run the url (mentioned below) each day.", " En activant cette fonctionnalité, vos nouveaux contacts seront automatiquement ajoutés / désinscrits de Sendinblue. Pour une synchronisation inverse (Sendinblue vers Magento), il faudra exécuter quotidiennement l'url du CRON (cf remarque plus bas)"
"The phone number should be in this form: 0033663309741 for this France mobile 06 63 30 97 41 (0033 is France prefix)", "Le numéro de téléphone mobile devrait être sous cette forme: 0033663309741 pour le numéro français 06 63 30 97 41 (0033 est l'indicatif de la France)"
"Select option", "Sélectionnez"
"Synchronize your Magento contacts with Sendinblue platform, easily send your marketing and transactional emails and SMS.", "Synchronisez les contacts de votre site Magento avec Sendinblue & envoyez facilement tous vos emails & SMS marketing et transactionnels."
"With the Sendinblue plugin, you can find everything you need to easily and efficiently send your email & SMS campaigns to your prospects and customers.", "Avec le module Sendinblue, retrouvez tout ce dont vous avez besoin pour envoyer simplement et efficacement vos campagnes emailing & SMS à vos prospects et clients :"
"Order history has been import successfully", "Historique des commandes a été importé avec succès."
"Import the data of previous orders", "Importer les données des anciennes commandes"
"Not synchronized", "non synchronized"
"Click on the icon to subscribe / unsubscribe the sms from Sendinblue and Magento.", "Cliquez sur l'icône pour inscrire / désinscrire un sms de Sendinblue et Magento."
"SMS Sendinblue Status", "Statut SMS sur Sendinblue"
"Select template", "Sélectionnez un template"
"Manage email template", "Gestion des templates email"
"Select a Sendinblue template that will be sent personalized for each contact that subscribes to your newsletter", "Sélectionnez un template Sendinblue qui sera envoyé pour chaque contact qui s'abonne à votre newsletter"
"Old subscribers not imported successfully, please click on Import Old Subscribers button to import them again", "Les anciens abonnés n'ont pas été importé. Merci de bien cliquez à nouveau sur le bouton"
"Import Old Subscribers", "Importer les anciens abonnés"
"No confirmation", "Aucune confirmation"
"With this option, contacts are directly added to your list when they enter their email address. No confirmation email is sent.","Avec cette option, votre contact s'inscrit directement à votre liste en laissant son adresse email. Aucun email de confirmation lui est envoyé."
"Simple confirmation", "Confirmation simple"
"This confirmation email is one of your SMTP templates. By default, we have created a Default Template - Single Confirmation. You can create and activate your SMTP templates by clicking here", "Cet email de confirmation fait partie de vos templates SMTP. Par défaut, nous en avons créé un 'Default Template - Simple Confirmation'."
"Double opt-in confirmation", "Double opt-in confirmation"
"If you select the Double Opt-in confirmation, subscribers will receive an email inviting them to confirm their subscription.Contact will be saved in the "FORM" folder, on the "Temp - DOUBLE OPT-IN" list. After confirmation, the contact will be saved in the "Corresponding List" selected below.", "Si vous choisissez la confirmation Double Opt-in, l'abonné recevra un email l'invitant à confirmer son inscription. Avant la confirmation, le contact est sauvegardé dans le dossier 'FORM', liste 'Temp - DOUBLE OPTIN', après confirmation, le contact est sauvegardé dans la 'Liste correspondante' choisie ci-dessous."
"Once the form has been completed, your contact will receive an email with a link to confirm their subscription.", "Lorsque le formulaire est rempli, votre contact recevra un email avec un lien de confirmation d'inscription."
"Redirect URL after clicking in the validation email", "URL de redirection après clic dans l'email de validation"
"Redirect your contacts to a landing page or to your website once they have clicked on the confirmation link in the email.", "Redirigez votre contact vers une landing page ou votre site après qu'il ait validé le lien de confirmation dans l'email."
"Send a final confirmation email", "Envoyer un email de confirmation final"
"Once a contact has clicked in the double opt-in confirmation email, send them a final confirmation email", "Lorsqu'un contact a cliqué dans le lien de l'email de confirmation double opt-in, lui envoyer un email final de confirmation"
"If you select the Double Opt-in confirmation, subscribers will receive an email inviting them to confirm their subscription.Contact will be saved in the 'FORM' folder, on the 'Temp - DOUBLE OPT-IN' list. After confirmation, the contact will be saved in the 'Corresponding List' selected below.", "Si vous choisissez la confirmation Double Opt-in, l'abonné recevra un email l'invitant à confirmer son inscription. Avant la confirmation, le contact est sauvegardé dans le dossier 'FORM', liste 'Temp - DOUBLE OPTIN', après confirmation, le contact est sauvegardé dans la 'Liste correspondante' choisie ci-dessous."
